u^2,u^3,u^4
0.01298013593904204,-0.012628080722753567,0.026468069487420427
0.012888610414241145,-0.012318127792079359,0.02640903150363101
0.012790613858076477,-0.011839093691803715,0.026310633957317923
0.013065470485055252,-0.012863991631991964,0.026447514796144822
0.012904285351045798,-0.012503118385802434,0.02634188873606534
0.01272196816620646,-0.01126130053935534,0.026182430972848884
0.012770418270947199,-0.012045443166446998,0.02624300598411203
0.013283278530097089,-0.013207133234027018,0.02661259145637287
0.012673044090082231,-0.01148601252034716,0.02613825587475926
0.012886024306640948,-0.012622438770386907,0.02611320250462514
0.012671684556362996,-0.012149054473226591,0.025961440081006884
0.012700895630650482,-0.010640931746386332,0.026020207603751903
0.012531837865441013,-0.011604206075634022,0.025891911008540495
0.01261554654761567,-0.010845149619283883,0.025993958500671033
0.01313668779477246,-0.013017853983030767,0.026357642808087587
0.012446382954463769,-0.01096639480151813,0.025807268815512
0.012519883006511492,-0.012160660896582326,0.025443598704366004
0.013459306933921479,-0.013377234939950654,0.026763354979090385
0.01225645047856013,-0.011585660859632195,0.02533335174314659
0.012212744414536134,-0.011040651312333677,0.02547081510016966
0.01238410549264316,-0.010206085570947345,0.025619079098657554
0.01260642885312846,-0.010173365662876134,0.025801328918450057
0.013361234130035364,-0.013282506228251948,0.026603270289560867
0.01210161693390008,-0.010283584540326615,0.025336931473462877
0.011958729351079337,-0.011032556051609141,0.025070667994642772
0.012855593036159267,-0.012644123911453899,0.025720102254214734
0.011780039519206911,-0.011162821077152617,0.024626690960237615
0.011823826995639428,-0.010446539605662213,0.02499687388337235
0.012752533974034209,-0.0100600250162556,0.025839775984447345
0.011936418314576595,-0.011551419868702586,0.024414039935451996
0.01235418596680915,-0.012042174890010648,0.02472435260143559
0.011590988024810723,-0.010665045504027242,0.024607362880920983
0.0120103408430824,-0.009337915708023989,0.02506690743521435
0.013204281728555256,-0.013068150311518551,0.026235951024173913
0.01139167990920855,-0.010800100348853162,0.024157810460807692
0.011348427843054154,-0.009961363935033973,0.02443944264634801
0.011575933206605679,-0.009400942713017835,0.024678766851111186
0.011392445336502613,-0.011030580228612247,0.023800319040480123
0.012366227158547754,-0.009317193649550703,0.025321698394867163
0.011090566827085448,-0.010296127989742098,0.02397999674898901
0.011294615496636087,-0.011063849666208358,0.0230524400989044
0.010978862366357764,-0.010606784628336386,0.023468639599806877
0.011778367381667517,-0.011428384064396727,0.02347751871143601
0.0109959076448667,-0.009060546421511387,0.024090059497041724
0.010862403758427078,-0.00963391038450746,0.023917865150446065
0.012659935202960585,-0.009649291959814723,0.02562359266689511
0.010823621791976415,-0.01070338009530671,0.02271780815375551
0.011537130843769802,-0.008255118076632737,0.024398634836186595
0.010677124271839906,-0.009906593685702013,0.023595197433999928
0.012671900865039575,-0.012349574051562388,0.02498956763520993
0.01061083967508859,-0.010192737883381282,0.023252615109331205
0.011036947067938117,-0.00815480075490849,0.02399454689362481
0.010417141381861868,-0.01034996665634977,0.022547078429794462
0.010498539422353787,-0.00890306758827891,0.023605679679935706
0.010416308206487342,-0.00943706601767126,0.023441450232953367
0.010283763786512577,-0.009775174361078262,0.023090577351257236
0.011942506364795076,-0.00828549259411426,0.02467280035626924
0.010505105078843835,-0.008076299582861417,0.023549049149760585
0.010586913553523947,-0.010571654865237156,0.02160602352878969
0.010072732324118342,-0.009978570996662914,0.022484676610672594
0.010046258147176704,-0.008858928668493598,0.023148792276264853
0.0101279671504102,-0.010329056104864408,0.021484876314641042
0.009985269143454361,-0.009326991197599784,0.022944141313922767
0.01302830527806386,-0.01278378631055683,0.025706683441593645
0.009746986616572495,-0.01004575258456129,0.021532448543903873
0.011103443922988903,-0.010801206744938778,0.02194314951462934
